id,packetid,bpm,mov,bat,temp,gsr
4,140,92,7,403,3293,179
0,25,101,28,402,3018,335
3,46,66,1,404,2650,511
3,46,66,1,404,2650,511
1,262,70,41,404,3225,346
4,141,84,20,403,3293,178
0,26,101,38,402,3018,521
1,263,70,8,404,3225,345
4,142,84,8,403,3293,178
0,27,101,18,403,3025,509
3,48,75,8,404,2650,510
1,264,70,25,404,3225,362
4,143,84,24,403,3293,177
0,28,92,23,403,3025,311
1,265,70,20,404,3225,404
4,144,100,14,403,3293,168
0,29,98,16,403,3031,304
1,266,70,13,404,3225,400
4,145,113,13,403,3293,167
0,30,100,26,403,3031,307
3,51,196,3,404,2650,510
1,267,29,17,404,3225,349
4,146,112,14,403,3293,169
0,31,93,18,403,3037,310
3,52,168,1,404,2650,510
1,268,30,15,404,3225,351
4,147,111,6,403,3293,169
0,32,93,14,403,3037,314
3,53,142,2,404,2650,511
1,269,35,10,404,3225,352
4,148,112,6,403,3293,170
0,33,93,10,403,3043,313
1,270,43,7,404,3225,353
1,270,43,7,404,3225,353
4,149,109,4,403,3293,169
0,34,93,8,403,3043,314
3,55,110,1,404,2650,511
1,271,43,7,404,3225,360
4,150,110,6,402,3293,170
0,35,130,9,403,3050,317
2,74,44,1,404,2725,512
1,272,43,57,404,3225,362
4,151,114,51,403,3293,158
0,36,130,60,403,3050,326
3,57,110,1,404,2650,511
1,273,209,17,404,3231,349
4,152,112,14,403,3293,168
0,37,130,97,404,3050,341
3,58,110,1,404,2650,511
2,76,51,1,404,2725,510
1,274,185,97,404,3231,505
4,153,113,73,403,3293,174
0,38,130,36,404,3050,356
3,59,60,1,404,2650,510
2,77,51,1,404,2725,510
1,275,185,29,404,3231,508
4,154,111,26,403,3293,171
4,154,111,26,403,3293,171
4,154,111,26,403,3293,171
0,39,225,125,403,3056,420
3,60,60,8,404,2650,513
2,78,51,7,404,2725,510
1,276,157,11,404,3231,358
4,155,106,14,403,3293,171
0,40,167,41,403,3050,489
2,79,51,9,404,2725,510
1,277,131,7,404,3231,348
4,156,99,11,403,3293,172
0,41,147,59,403,3031,513
2,80,47,11,404,2725,510
1,278,96,8,404,3237,349
4,157,97,12,403,3293,172
0,42,143,3,403,3006,516
1,279,90,9,404,3237,367
